Company Name,Tradestyle,Address Line 1,City,Province,Postal Code,Country,Phone,URL,Revenue (USD),Employees (Single Site),Employees (Blended Sites),Business Description,Ownership Type,Entity Type,Parent Company,Parent Country,Ultimate Parent Company,Ultimate Parent Country,D&B Hoovers Industry,NAICS 2012 Code,NAICS 2012 Description,Import/Export Status,Manufacturing Status
(MADD Canada) Mothers Against Drunk Driving,Kington Ab and District Chapter,1525 Centennial Dr,Kingston,Ontario,K7P 0K4,Canada,,http://www.madd.ca,,1,1,"(MADD Canada) Mothers Against Drunk Driving is a membership organization, not elsewhere classified.",Private,Branch,(MADD Canada) Mothers Against Drunk Driving,Canada,(MADD Canada) Mothers Against Drunk Driving,Canada,Associations and Organizations,813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",,
1 Click PC Support,,17 Eldon Hall Place,Kingston,Ontario,K7M 7H5,Canada,613-547-0555,,"100,034.76",1,1,1 Click PC Support is primarily engaged in the maintenance and repair of computers and computer peripheral equipment.,Private,Independent,,,,,Computer and Office Machine Repair and Maintenance,811212,Computer and Office Machine Repair and Maintenance,,
1 Tooth Active Wear,,119 Princess St Unit 2,Kingston,Ontario,K7L 1A8,Canada,613-449-4080,,,,,Nonclassifiable establishments,Private,Independent,,,,,Nonclassifiable Establishments,9999,Nonclassifiable Establishments,,
1011613 Ontario Limited,Autohouse Kingston,556 Bath Rd Suite 69,Kingston,Ontario,K7M 2Y3,Canada,613-634-3262,http://www.autohousekingston.ca,"530,184.15",2,2,"1011613 Ontario Limited is primarily engaged in the retail sale of used cars only, with no sales of new automobiles. These establishments also frequently sell used pickups and vans at retail.",Partnership,Independent,,,,,Motor Vehicle and Parts Dealers,441120,Used Car Dealers,,
1011615 Ontario Limited,Frontenac Storage & Service,2949 Frontenac Rd Rr 2,Inverary,Ontario,K0H 1X0,Canada,613-530-2970,,"82,028.501",1,1,"1011615 Ontario Limited is primarily engaged in specialized repair services, not elsewhere classified, such as bicycle repair; leather goods repair; lock and gun repair, including the making of lock parts or gun parts to individual order; musical instrument repair; septic tank cleaning; farm machinery repair; furnace cleaning; motorcycle repair; tank truck cleaning; taxidermists; tractor repair; and typewriter repair.",Private,Independent,,,,,Industrial Machinery Repair and Maintenance,811412,Appliance Repair and Maintenance,,
1011786 Ontario Inc,Sousa Ready Mix,1351 Mcadoo's Lane Suite 1,Glenburnie,Ontario,K0H 1S0,Canada,613-547-3675,,"7,302,537.40",48,48,"1011786 Ontario Inc is a special trade contractor primarily engaged in  concrete work, including portland cement and asphalt. This industry includes the construction of private driveways and walks of all materials.",Private,Independent,,,,,Specialty Construction Trade Contractors,238110,Poured Concrete Foundation and Structure Contractors,,TRUE
1021026 Ontario Inc,New York Fries,945 Gardiners Rd,Kingston,Ontario,K7M 7H4,Canada,613-634-7081,,,5,5,1021026 Ontario Inc is primarily engaged in the retail sale of prepared food and drinks for on-premise or immediate consumption. Caterers and industrial and institutional food service establishments are also included in this industry.,Private,Branch,1021026 Ontario Inc,Canada,1021026 Ontario Inc,Canada,Restaurants and Bars,722513,Limited-Service Restaurants,,
1034201 Ontario Ltd,Frontenac Roofing,3243 Creekford Rd,Westbrook,Ontario,K7P 2Z7,Canada,613-389-7300,http://www.frontenacroofing.com,"660,229.38",5,5,"1034201 Ontario Ltd is a special trade contractor primarily engaged in  the installation of roofing, siding, and sheet metal work.",Private,Independent,,,,,Specialty Construction Trade Contractors,238160,Roofing Contractors,,
1034246 Ontario Ltd,,3429 Princess St,Westbrook,Ontario,K7P 3A5,Canada,613-384-3036,,"2,000,695.20",20,20,"1034246 Ontario Ltd is a special trade contractor primarily engaged in  excavation work and digging foundations, including digging and loading. Contractors in this industry may also perform incidental concrete work.",Private,Independent,,,,,Specialty Construction Trade Contractors,238910,Site Preparation Contractors,,
1034250 Ontario Ltd,Kingston Hyundai,401 Bath Rd,Kingston,Ontario,K7M 7C9,Canada,613-634-4000,http://www.kingstonhyundai.ca,"16,005,562.00",32,32,"1034250 Ontario Ltd is primarily engaged in the retail sale of new automobiles or new and used automobiles. These establishments frequently maintain repair departments and carry stocks of replacement parts, tires, batteries, and automotive accessories. These establishments also frequently sell pickups and vans at retail.",Private,Independent,,,,,Motor Vehicle and Parts Dealers,441110,New Car Dealers,,
1034283 Ontario Ltd,Fiancee Jewellers,216 Princess St,Kingston,Ontario,K7L 1B2,Canada,613-542-8112,,"150,052.15",2,2,"1034283 Ontario Ltd is primarily engaged in the retail sale of any combination of the lines of jewelry, such as diamonds and other precious stones mounted in precious metals as rings, bracelets, and broaches; sterling and plated silverware; and watches and clocks.",Private,Independent,,,,,Clothing and Apparel Stores,448310,Jewelry Stores,,
103450 Ontario Limited,Freddie's Grocery,219 University Ave,Kingston,Ontario,K7L 3P7,Canada,,,"710,246.74",5,5,"103450 Ontario Limited is a supermarket/grocery store, primarily engaged in the retail sale of all sorts of canned foods and dry goods, such as tea, coffee, spices, sugar, and flour; fresh fruits and vegetables; and fresh and prepared meats, fish, and poultry.",Private,Independent,,,,,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,,
1035407 Ontario Ltd,Hampton Court Apartments,90 Virginia St Suite 308,Kingston,Ontario,K7K 5Y4,Canada,613-549-7007,,"55,019.114",1,1,"1035407 Ontario Ltd is primarily engaged in leasing real property, not elsewhere classified.",Private,Independent,,,,,Commercial Real Estate Leasing,531190,Lessors of Other Real Estate Property,,
1046664 Ontario Ltd,Bert's Catering,734 Montreal St,Kingston,Ontario,K7K 3J4,Canada,613-549-1068,http://www.bertscatering.com,"100,034.76",2,2,1046664 Ontario Ltd is primarily engaged in the retail sale of prepared food and drinks for on-premise or immediate consumption. Caterers and industrial and institutional food service establishments are also included in this industry.,Private,Independent,,,,,Restaurants and Bars,722320,Caterers,,
1059810 Ontario Ltd,,916 Princess St,Kingston,Ontario,K7L 1H1,Canada,613-546-3400,,"10,503,650",1,51,"1059810 Ontario Ltd is a general contractor primarily engaged in construction (including new work, additions, alterations, remodeling, and repair) of single-family houses.",Private,Parent,,,,,Residential and Commercial Building Construction,236115,New Single-Family Housing Construction (except For-Sale Builders),,
1059850 Ontario Limited,Bearances Grocery,115 Livingston Ave,Kingston,Ontario,K7L 4L3,Canada,613-548-4441,http://www.bearancesgrocery.com,"1,100,382.30",8,8,"1059850 Ontario Limited is a supermarket/grocery store, primarily engaged in the retail sale of all sorts of canned foods and dry goods, such as tea, coffee, spices, sugar, and flour; fresh fruits and vegetables; and fresh and prepared meats, fish, and poultry.",Private,Independent,,,,,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,,
1059873 Ontario Inc,,253 Ontario St Suite 200,Kingston,Ontario,K7L 2Z4,Canada,613-549-8091,,"4,801,668.60",37,37,1059873 Ontario Inc is primarily engaged in holding or owning the securities of banks for the sole purpose of exercising some degree of control over the activities of bank companies whose securities they hold.,Private,Independent,,,,,Holding Companies,551111,Offices of Bank Holding Companies,Exports,
1059879 Ontario Limited,,127 Main St,Seeleys Bay,Ontario,K0H 2N0,Canada,613-387-3200,,"4,501,564",35,35,1059879 Ontario Limited is primarily engaged in holding or owning the securities of banks for the sole purpose of exercising some degree of control over the activities of bank companies whose securities they hold.,Private,Independent,,,,,Holding Companies,551111,Offices of Bank Holding Companies,,
1059902 Ontario Limited,,1468 Bath Rd,Kingston,Ontario,K7M 4X6,Canada,613-542-2284,,"6,502,259.30",,13,"1059902 Ontario Limited is primarily engaged in the retail sale of new automobiles or new and used automobiles. These establishments frequently maintain repair departments and carry stocks of replacement parts, tires, batteries, and automotive accessories. These establishments also frequently sell pickups and vans at retail.",Private,Parent,,,,,Motor Vehicle and Parts Dealers,441110,New Car Dealers,,
1059909 Ontario Limited,Woods Sand & Gravel,1140 Collins Bay Rd,Kingston,Ontario,K7P 2X6,Canada,613-389-3332,,"200,069.52",1,1,"1059909 Ontario Limited is primarily engaged in selling primarily lumber, or lumber and a general line of building materials, to the general public. While these establishments may sell primarily to construction contractors, they are known as retail in the trade. The lumber which they sell may include rough and dressed lumber, flooring, molding, doors, sashes, frames, and other millwork. The building materials may include roofing, siding, shingles, wallboard, paint, brick, tile, cement, sand, gravel, and other building materials and supplies. Hardware is often an important line sold by retail lumber and building materials dealers.",Private,Independent,,,,,Home and Garden Retail,444190,Other Building Material Dealers,,
1059936 Ontario Inc,"Team Industrial Services, Team Solutions",93 Grant Timmins Dr,Kingston,Ontario,K7M 8N3,Canada,613-389-0456,,,14,14,"1059936 Ontario Inc is primarily engaged in specialized repair services, not elsewhere classified, such as bicycle repair; leather goods repair; lock and gun repair, including the making of lock parts or gun parts to individual order; musical instrument repair; septic tank cleaning; farm machinery repair; furnace cleaning; motorcycle repair; tank truck cleaning; taxidermists; tractor repair; and typewriter repair.",Private,Branch,1059936 Ontario Inc,Canada,1059936 Ontario Inc,Canada,Industrial Machinery Repair and Maintenance,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,,
1073664 Ontario Inc,,1318 Princess St,Kingston,Ontario,K7M 3E2,Canada,613-531-7853,,"120,041.71",1,1,"1073664 Ontario Inc is a special trade contractor primarily engaged in  plumbing, heating, air-conditioning, and similar work. Sheet metal work performed by plumbing, heating, and air-conditioning contractors in conjunction with the installation of plumbing, heating, and air-conditioning equipment is included.",Private,Independent,,,,,Specialty Construction Trade Contractors,238220,"Plumbing, Heating, and Air-Conditioning Contractors",,
1078720 Ontario Inc,Enviro Masters Lawn Care,2929 Princess St,Kingston,Ontario,K7P 0K3,Canada,613-389-8676,,"500,173.81",6,6,1078720 Ontario Inc is primarily engaged in performing a variety of lawn and garden services.,Private,Independent,,,,,Building and Dwelling Services,561730,Landscaping Services,,
1085453 Ontario Ltd,"Kingston Husky Car & Truck Stop, Kingston Husky Travel Centre",2054 Joyceville Rd,Joyceville,Ontario,K0H 1Y0,Canada,613-546-5025,,"5,601,946.40",30,30,"1085453 Ontario Ltd is a gasoline service station primarily engaged in selling gasoline and lubricating oils. They also sell other merchandise, such as tires, batteries, and other automobile parts, or perform minor repair work.",Private,Independent,,,,,Gasoline Stations and Fuel Dealers,447190,Other Gasoline Stations,,
1085459 Ontario Ltd,Kingston Online Services,303 Bagot St Suite 16,Kingston,Ontario,K7K 5W7,Canada,613-549-8667,http://www.kos.net,"1,300,451.80",15,16,"1085459 Ontario Ltd is primarily engaged in furnishing telephone voice and data communications, except radiotelephone and telephone answering services. This also includes leasing telephone lines or other methods of telephone transmission, such as optical fiber lines and microwave or satellite facilities, and reselling the use of such methods to others.",Private,Parent,,,,,Wired Telecommunications Carriers,517110,Wired Telecommunications Carriers,,
1085479 Ontario Ltd,Kingston Plate & Window Glass,1407 John Counter Blvd Unit 20,Kingston,Ontario,K7K 6A9,Canada,613-546-6421,http://www.kingstonplate.com,"2,100,729.70",11,11,1085479 Ontario Ltd is primarily engaged in manufacturing flat glass. This industry also produces laminated glass.,Private,Independent,,,,,Non-Metallic Mineral Product Manufacturing,327211,Flat Glass Manufacturing,Imports,
1085487 Ontario Inc,E.J.F. Construction,2603 Woodburn Rd,Joyceville,Ontario,K0H 1Y0,Canada,613-542-9666,,"110,038.23",1,1,"1085487 Ontario Inc is primarily engaged in furnishing trucking or transfer services without storage for freight generally weighing more than 100 pounds, in a single municipality, contiguous municipalities, or a municipality and its suburban areas.",Private,Independent,,,,,Trucking,484110,"General Freight Trucking, Local",,
1085558 Ontario Limited,Zakos Enterprises,16A Market St Suite 1,Kingston,Ontario,K7L 1W8,Canada,613-546-3169,,"250,086.90",2,2,"1085558 Ontario Limited is primarily engaged in renting, buying, selling, managing, and appraising real estate for others.",Private,Independent,,,,,Real Estate Agents and Brokers,531210,Offices of Real Estate Agents and Brokers,,
1085599 Ontario Inc,Southeastern News Service,682B Mckay St Unit 1,Kingston,Ontario,K7M 7G2,Canada,613-634-3509,http://www.thewhig.com,"800,278.07",5,5,"1085599 Ontario Inc is primarily engaged in the wholesale distribution of books, periodicals, and newspapers.",Private,Independent,,,,,Miscellaneous Wholesale,424920,"Book, Periodical, and Newspaper Merchant Wholesalers",,
1085599 Ontario Inc,South Eastern News Service,592 Justus Dr Unit 2,Kingston,Ontario,K7M 4H4,Canada,613-384-3158,,"800,278.07",5,5,"1085599 Ontario Inc is primarily engaged in the wholesale distribution of books, periodicals, and newspapers.",Private,Independent,,,,,Miscellaneous Wholesale,424920,"Book, Periodical, and Newspaper Merchant Wholesalers",,
1095011 Ontario Limited,Novel Idea,156 Princess St,Kingston,Ontario,K7L 1B1,Canada,613-546-9799,http://www.novelideabooks.ca,"1,000,347.60",10,10,1095011 Ontario Limited is primarily engaged in the retail sale of new books and magazines.,Private,Independent,,,,,Sporting Goods and Recreation Stores,451211,Book Stores,,
1106409 Ontario Limited,Clark Consulting Services,348 Bagot St Suite 106,Kingston,Ontario,K7K 3B7,Canada,613-549-0444,http://www.clarkcs.com,,5,5,"1106409 Ontario Limited is primarily engaged in furnishing business consulting services, not elsewhere classified, on a contract or fee basis.",Private,Branch,1106409 Ontario Limited,Canada,1106409 Ontario Limited,Canada,Consulting Services,541690,Other Scientific and Technical Consulting Services,,
