Company Name,Address Line 1,Postal Code,Phone,URL,Revenue (USD),Business Description
"Empire Life Insurance Company, The",259 King St E,K7L 3A8,613-548-1881,http://www.empire.ca,1287375200.0,"The Empire Life Insurance Company (Empire Life) is a Canada-based life insurance company. The Company underwrites life and health insurance policies and provides segregated funds, mutual funds and annuity products for individuals and groups across Canada. Empire Life's segments include product lines, such as Wealth Management product line, which includes segregated funds, mutual funds, guaranteed interest rate annuities and annuities providing income for life; Employee Benefits product line, which offers group benefit plans to employers for medical, dental, disability, and life insurance coverage of their employees; Individual Insurance product line, which includes both non-participating and participating individual life and health insurance products, and Capital and Surplus segment, which includes assets held in the shareholders' and participating policyholders' equity accounts. The Company is a subsidiary of E-L Financial Corporation Limited."
Queen's University At Kingston,99 University Ave,K7L 3N5,613-533-2000,http://www.queensu.ca,851089720.0,"For students looking to gain a grand education, there is Canada's Queen's University. First chartered by Queen Victoria in 1841, the Ontario-based school enrolls more than 24,000 full-time students and employs more than 1,000 full-time faculty members. Its student body represents more than 120 different countries, along with every Canadian province and territory. Queen's offers a broad range of undergraduate, graduate, and professional degrees including those in arts and sciences, business, and health sciences. In fact, the university is one of the top medical/doctoral schools in Canada, as well as a leading research school. In addition, its Chernoff Hall is one of the largest chemistry complexes in North America."
Kingston General Hospital,76 Stuart St,K7L 2V7,613-548-3232,http://www.kgh.on.ca,461473330.0,Kingston General Hospital is primarily engaged in providing general medical and surgical services and other hospital services.
"Corporation of the City of Kingston, The",216 Ontario St,K7L 2Z3,613-546-4291,http://www.sustainablekingston.ca,336616940.0,Legislative bodies and their advisory and interdepartmental committees and commissions.
Robinson Solutions (Canada) Inc,1456 Centennial Dr,K7P 0K4,613-389-7611,,309907650.0,Robinson Solutions (Canada) Inc is primarily engaged in holding or owning the securities of banks for the sole purpose of exercising some degree of control over the activities of bank companies whose securities they hold.
Startek Canada Services Ltd,100 Innovation Dr,K7K 7E7,613-531-6350,,281997960.0,"Startek Canada Services Ltd is primarily engaged in furnishing business consulting services, not elsewhere classified, on a contract or fee basis."
Limestone District School Board,220 Portsmouth Ave,K7L 4X4,613-544-6920,http://www.limestone.on.ca,248951900.0,"Elementary and secondary schools furnishing academic courses, ordinarily for kindergarten through grade 12. Included in this industry are parochial schools and military academies furnishing academic courses for kindergarten through grade 12, and secondary schools which furnish both academic and technical courses."
Invista (Canada) Company,455 Front Rd,K7L 4Z6,613-544-6000,,167358150.0,"Invista (Canada) Company is primarily engaged in manufacturing textile goods, not elsewhere classified, including linen goods, jute goods, felt goods, padding and upholstery filling and processed waste and recovered fibers and flock. This includes processing textile fibers to prepare them for spinning, such as wool scouring and carbonizing and combing and converting tow to top, are also classified here."
Providence Care Centre,340 Union St,K7L 5A2,613-548-7222,http://www.providencecare.ca,116340420.0,"Providence Care Centre is primarily engaged in providing inpatient nursing and rehabilitative services to patients who require continuous health care, but not hospital services. Care must be ordered by and under the direction of a physician. The staff must include a licensed nurse on duty continuously with a minimum of one full-time registered nurse on duty during each day shift. Included are establishments certified to deliver skilled nursing care under the Medicare and Medicaid programs."
South East Community Care Access Centre,1471 John Counter Blvd Suite 200,K7M 8S8,613-544-7090,,94147919.0,Establishments of licensed practitioners having the degree of M.D. and engaged in the practice of general or specialized medicine and surgery. Establishments operating as clinics of physicians are included in this industry.
